Timecode,Month,Day,Hour,0.46[n/ml],0.66[n/ml],0.89[n/ml],1.15[n/ml],1.45[n/ml],1.85[n/ml],2.55[n/ml],3.5[n/ml],4.5[n/ml],5.75[n/ml],7.25[n/ml],9[n/ml],11[n/ml],13[n/ml],15[n/ml],16.5[n/ml],PM1[uq/m3],PM2.5[uq/m3],PM10[uq/m3],avg_DurationSample[s],avg_Flowrate[ml/s],NumberOfSamples,LONG,LAT,tempC,windspeedKmph,precipMM,RelHumidity%,visibility_km,pressure_mb,cloudcover%,HeatIndexC,DewPointC,sigWaveHeight_m,swellHeight_m,waterTempC,totConc[0.38-100um][n/ml]
7.41667,7,12,22,897’232,177’671,89’276.8,75’978.3,29’324.5,18’957,27’050.2,22’920.7,5’628.42,0,1’905.37,0,0,1’885.78,0,0,0.104668,0.275594,1.67346,2.96348,3.74652,46,-6.10402,49.535,17,6,0,78,10,1’028,19,17,13,0.6,0.6,16,555’266
7.41801,7,12,23,987’721,237’190,154’595,105’559,36’760.9,46’387.2,58’762,24’975,16’080.6,7’952.99,0,2’350.59,1’104.83,1’124.5,0,2’257.23,0.142877,0.43961,3.96519,3.05784,3.88297,74,-6.13376,49.5393,16,11,0,74,10,1’028,26,16,12,0.7,0.7,16,837’976
7.43952,7,13,15,2.43931e+07,7.86649e+06,6.24472e+06,2.54288e+06,622’608,261’603,171’002,71’207.3,24’843.8,2’571.01,2’623.94,2’417.72,2’520.17,0,0,4’951.07,4.72881,8.61172,14.581,3.02946,3.57757,37,-6.31268,49.9193,16,31,0.5,94,2,1’024,100,16,15,1,1.1,16,2.25492e+07
7.44489,7,13,19,731’533,131’566,87’686.1,57’490.8,18’616.4,23’310.2,28’354.2,4’797.75,2’367.96,2’305.15,0,1’234.43,1’206.99,0,1’255.83,0,0.0891253,0.241674,1.40909,2.98883,3.68325,77,-6.31262,49.9193,16,32,0.4,94,5,1’023,94,16,15,0.9,1.2,16,449’317
7.44624,7,13,20,678’647,91’662.1,51’490.3,20’043.2,10’610.5,4’672.75,12’946.7,0,1’185.05,0,1’169.62,0,0,0,0,0,0.0669553,0.115267,0.517543,3.00878,3.85554,74,-6.31266,49.9192,16,30,0.2,94,7,1’023,89,16,15,0.7,1.3,16,260’735
7.44758,7,13,21,683’750,111’715,43’697.6,34’294.1,6’825.16,6’541.1,4’647.66,939.789,944.869,0,0,0,0,0,0,0,0.0674769,0.127009,0.233574,3.01095,3.76105,95,-6.31267,49.9192,16,28,0,94,10,1’022,83,16,15,0.7,1.3,16,277’082
7.44892,7,13,22,1.0021e+06,125’378,80’174.1,24’151.9,14’286.3,7’125.45,8’281.07,1’156.68,0,1’172.02,0,0,0,0,1’162.77,0,0.0993399,0.164942,0.379286,3.0176,3.75613,75,-6.31269,49.9192,16,29,0,92,10,1’022,69,16,15,0.7,1.3,16,362’228
7.45027,7,13,23,2.1767e+06,383’337,239’748,88’700.9,29’124.4,37’377.2,17’322.6,7’392.92,1’209.1,3’781.47,1’195.89,1’151.83,0,0,0,0,0.2573,0.497613,1.92634,3.04627,3.59493,75,-6.31271,49.9192,16,31,0,90,10,1’022,54,16,14,0.9,1.4,16,1.06764e+06
7.45161,7,14,0,1.97015e+06,362’858,210’448,108’596,37’276,40’092.1,37’098.3,9’716.92,0,1’390.73,2’748.54,0,0,0,0,0,0.232656,0.511057,1.73804,2.95795,3.35411,73,-6.31269,49.9192,16,33,0,87,10,1’022,40,16,14,0.9,1.4,16,1.04288e+06
7.45296,7,14,1,1.99185e+06,314’678,181’938,79’653.4,28’147.9,28’520.9,27’173.1,3’969.21,2’670.16,0,0,1’390.92,0,0,0,0,0.216107,0.418426,1.40073,3.01218,3.20308,78,-6.31269,49.9192,16,30,0,88,10,1’021,60,16,14,0.9,1.4,16,884’249
