Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1594058515,2020,7,6,18,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,4.25,0.00,0.00,0.00,
1,1594058518,2020,7,6,18,1,58,20,11,16,13,5,4,2,0,2,0,0,0,0,0,0,0,3.06,3.70,0.76,3.56,13.54,
1,1594058521,2020,7,6,18,2,1,21,11,17,22,4,1,2,1,0,0,0,0,0,0,0,0,3.06,3.86,0.76,3.06,6.43,
1,1594058524,2020,7,6,18,2,4,22,15,30,12,7,7,2,0,0,1,0,0,0,0,0,0,3.06,3.86,1.22,4.94,14.83,
1,1594058527,2020,7,6,18,2,7,23,13,18,18,4,3,3,0,2,0,0,0,0,0,0,0,3.06,3.91,0.82,3.38,13.52,
1,1594058530,2020,7,6,18,2,10,28,14,23,5,2,4,0,1,0,0,0,0,0,0,0,0,3.06,3.90,1.01,2.72,4.60,
1,1594058533,2020,7,6,18,2,13,21,14,22,14,4,12,1,3,0,1,0,0,0,0,0,0,3.06,3.89,0.95,5.76,20.51,
1,1594058536,2020,7,6,18,2,16,23,16,18,16,8,7,4,0,0,1,0,0,0,0,0,0,3.06,3.85,0.87,5.00,16.39,
1,1594058539,2020,7,6,18,2,19,15,18,15,13,3,2,0,0,0,0,0,0,0,0,0,0,3.06,3.89,0.76,2.58,2.58,
1,1594058542,2020,7,6,18,2,22,23,9,17,19,2,7,1,0,1,1,0,0,0,0,0,0,3.06,3.84,0.75,4.27,17.51,
1,1594058545,2020,7,6,18,2,25,22,13,16,17,9,6,3,0,1,0,0,0,0,0,0,0,3.06,3.91,0.75,4.74,10.91,
1,1594058549,2020,7,6,18,2,29,23,12,23,19,4,5,2,0,0,0,0,0,0,0,0,0,3.06,3.93,0.95,4.12,5.56,
1,1594058552,2020,7,6,18,2,32,25,23,17,15,8,5,6,0,0,0,0,0,0,0,0,0,3.06,3.96,0.91,4.31,8.61,
1,1594058555,2020,7,6,18,2,35,24,13,19,6,6,4,2,2,0,0,0,0,0,0,0,0,3.06,3.98,0.84,3.11,8.22,
1,1594058558,2020,7,6,18,2,38,21,21,25,20,7,5,2,1,0,0,0,0,0,0,0,0,3.06,4.05,1.09,4.62,7.83,
1,1594058561,2020,7,6,18,2,41,23,13,21,16,4,5,3,2,0,0,0,1,0,0,0,0,3.06,4.05,0.88,3.76,40.27,
1,1594058564,2020,7,6,18,2,44,16,16,13,16,6,6,3,2,1,0,0,0,0,0,0,0,3.06,3.97,0.66,4.14,13.91,
1,1594058567,2020,7,6,18,2,47,26,11,21,11,6,12,2,1,1,1,0,0,0,0,0,0,3.06,3.98,0.88,5.65,21.01,
1,1594058570,2020,7,6,18,2,50,21,16,26,25,2,4,1,2,0,0,0,0,0,0,0,0,3.06,3.95,1.08,4.08,8.51,
1,1594058573,2020,7,6,18,2,53,18,14,19,12,2,10,3,0,1,0,0,0,0,0,0,0,3.06,3.97,0.83,4.60,10.67,
1,1594058576,2020,7,6,18,2,56,23,14,20,12,4,3,4,0,0,0,0,0,0,0,0,0,3.06,3.95,0.88,3.02,5.88,
1,1594058579,2020,7,6,18,2,59,23,17,25,14,11,4,1,2,0,0,0,0,1,0,0,0,3.06,3.89,1.09,4.61,9.11,
1,1594058769,2020,7,6,18,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,4.25,0.00,0.00,0.00,
1,1594058772,2020,7,6,18,6,12,27,15,16,14,4,5,2,0,0,0,0,0,0,0,0,0,3.05,3.54,0.88,4.03,5.64,
1,1594058775,2020,7,6,18,6,15,21,15,18,14,4,9,0,1,2,0,0,0,0,0,0,0,3.06,3.70,0.88,5.07,15.49,
1,1594058778,2020,7,6,18,6,18,27,16,25,17,6,1,0,0,0,0,0,0,0,0,0,0,3.06,3.75,1.13,3.43,3.43,
1,1594058781,2020,7,6,18,6,21,20,22,11,15,5,1,0,1,0,0,0,0,0,0,0,0,3.06,3.84,0.71,2.69,4.59,
1,1594058784,2020,7,6,18,6,24,28,27,17,19,5,6,1,0,0,0,0,0,0,0,0,0,3.06,3.90,0.98,4.58,5.31,
1,1594058787,2020,7,6,18,6,27,21,22,14,15,7,5,1,1,1,0,0,0,0,0,0,0,3.06,3.94,0.79,4.08,10.62,
