Station,Timestamp,Year,Month,Day,Hour,Min,Sec,0.46um,0.66um,0.89um,1.15um,1.45um,1.85um,2.55um,3.5um,4.5um,5.75um,7.25um,9um,11um,13um,15um,16.5um,DurationSample_s,FlowRate_ml/s,PM1 ug/m3,PM2.5 ug/m3,PM10 ug/m3
1,1594895455,2020,7,16,10,30,55,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00,3.04,0.23,0.23,0.23,
1,1594895458,2020,7,16,10,30,58,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.04,0.06,0.06,0.06,
1,1594895461,2020,7,16,10,31,1,14,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.08,0.19,0.36,0.36,
1,1594895464,2020,7,16,10,31,4,16,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.16,0.19,0.28,0.28,
1,1594895467,2020,7,16,10,31,7,18,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,3.03,2.93,0.32,0.59,0.59,
1,1594895470,2020,7,16,10,31,10,12,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.00,0.12,0.20,1.16,
1,1594895474,2020,7,16,10,31,14,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.02,0.15,0.15,0.15,
1,1594895477,2020,7,16,10,31,17,14,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.02,0.20,0.29,0.29,
1,1594895480,2020,7,16,10,31,20,14,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.12,0.18,0.35,0.35,
1,1594895483,2020,7,16,10,31,23,21,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3.03,3.17,0.27,0.61,0.61,
1,1594895486,2020,7,16,10,31,26,15,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.21,0.35,0.35,0.35,
1,1594895489,2020,7,16,10,31,29,15,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.19,0.14,0.22,0.22,
1,1594895492,2020,7,16,10,31,32,14,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.19,0.20,0.28,0.28,
1,1594895495,2020,7,16,10,31,35,21,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.20,0.19,0.36,0.36,
1,1594895498,2020,7,16,10,31,38,15,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.20,0.11,0.27,0.27,
1,1594895501,2020,7,16,10,31,41,23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.21,0.23,0.23,0.23,
1,1594895504,2020,7,16,10,31,44,13,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3.03,3.23,0.18,0.60,0.60,
1,1594895507,2020,7,16,10,31,47,31,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.26,0.30,0.30,0.30,
1,1594895510,2020,7,16,10,31,50,24,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.25,0.29,0.29,0.29,
1,1594895513,2020,7,16,10,31,53,18,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,3.03,3.26,0.23,0.65,0.65,
1,1594895516,2020,7,16,10,31,56,15,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.26,0.21,0.37,0.37,
1,1594895519,2020,7,16,10,31,59,18,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,3.03,3.28,0.26,0.76,0.76,
1,1594895522,2020,7,16,10,32,2,16,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.29,0.23,0.31,0.31,
1,1594895525,2020,7,16,10,32,5,20,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.32,0.16,0.24,0.24,
1,1594895528,2020,7,16,10,32,8,24,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.34,0.27,0.27,0.27,
1,1594895531,2020,7,16,10,32,11,24,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.35,0.34,0.34,0.34,
1,1594895534,2020,7,16,10,32,14,24,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.36,0.40,0.48,0.48,
1,1594895537,2020,7,16,10,32,17,17,6,2,1,2,1,1,0,0,0,0,0,0,0,0,0,3.03,3.39,0.24,0.96,1.80,
1,1594895541,2020,7,16,10,32,21,19,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.41,0.34,0.34,0.34,
1,1594895544,2020,7,16,10,32,24,23,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.41,0.30,0.45,0.45,
1,1594895547,2020,7,16,10,32,27,21,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,3.03,3.41,0.23,0.38,1.22,
1,1594895550,2020,7,16,10,32,30,24,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.41,0.25,0.33,0.33,
1,1594895553,2020,7,16,10,32,33,23,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3.03,3.43,0.29,0.29,19.48,
1,1594895556,2020,7,16,10,32,36,33,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3.03,3.42,0.33,0.40,0.40,
1,1594895559,2020,7,16,10,32,39,19,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.43,0.24,0.47,0.47,
1,1594895562,2020,7,16,10,32,42,24,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,3.03,3.45,0.29,0.52,0.52,
